id,status,name,company_type,Type,cidade,estado,carteira,Assinatura,Novo company_type,Nova carteira
93740,inactive,Santa Monica Veiculos,Revenda,company,Caçador,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93741,inactive,Kck Multimarcas,Revenda,company,Brasília,Distrito Federal,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93742,inactive,Carx Multimarcas,Revenda,company,Salto,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93743,inactive,Valorminas,Revenda,company,Bom Despacho,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93744,inactive,1000 Grau Veículos,Revenda,company,São Bernardo do Campo,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93745,inactive,Renan Veiculos,Revenda,company,União da Vitória,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93746,inactive,Jeova Jireh Vei,Revenda,company,Duque de Caxias,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93747,inactive,Kaloa Veiculos,Revenda,company,Duque de Caxias,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93748,inactive,Toriba Veículos VW,Revenda,company,São Paulo,São Paulo,Carteira CS - Kelly Viana,DS Autoestoque,Concessionárias,
93749,inactive,AF AUTOMOVEIS,Revenda,company,Belo Horizonte,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93750,inactive,Rodocanaa Veiculos E Caminhoes,Revenda,company,Campo Grande,Mato Grosso do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93751,inactive,Mclaren São Paulo,Revenda,company,São Paulo,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93752,inactive,Nunes Car,Revenda,company,Parauapebas,Pará,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93753,inactive,Exclusive Multimarcas,Revenda,company,Estância Velha,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93754,inactive,Br Intermediacoes,Revenda,company,Itajubá,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93755,active,V6 Veiculos,Revenda,company,Manaus,Amazonas,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93756,inactive,Blue Motos,Revenda,company,Uberaba,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93757,inactive,Parametro Multimarcas,Revenda,company,Catanduvas,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93758,inactive,Super Auto,Revenda,company,Porto Alegre,Rio Grande do Sul,Carteira UsadosBR,#N/A,Concessionárias,
93759,inactive,Igf Automoveis,Revenda,company,Ampére,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93760,inactive,Tchelo Automoveis,Revenda,company,Conchal,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93761,inactive,Milton Motos E Carros,Revenda,company,Santa Bárbara d'Oeste,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93762,inactive,Renove Motors,Revenda,company,Ribeirão Preto,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93763,inactive,Moto Certa,Revenda,company,Torres,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93764,inactive,Fenix Multimarcas,Revenda,company,Cascavel,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93765,inactive,Lc Veiculos,Revenda,company,Macaubal,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93766,inactive,Vectra,Revenda,company,Juiz de Fora,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93767,inactive,Mugello Motos Multimarcas,Revenda,company,Curitiba,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93768,inactive,Start Veiculos,Revenda,company,Brasília,Distrito Federal,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93769,inactive,Marcio Automoveis,Revenda,company,São Paulo,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93770,inactive,Net Car,Revenda,company,São Luís,Maranhão,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93771,inactive,Atlas Veiculos,Revenda,company,São Luís,Maranhão,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93772,inactive,WFC Automoveis,Revenda,company,Duque de Caxias,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93773,inactive,Feirão Do Alemão,Revenda,company,Sorocaba,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93774,inactive,Deco Automoveis,Revenda,company,Imbituba,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93775,inactive,2A Veiculos,Revenda,company,Londrina,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93776,inactive,Sky Automoveis,Revenda,company,São José do Rio Preto,São Paulo,Carteira CS - Rita Moregola,#N/A,Revendas,Lucas Bombini
93777,inactive,Ludocar,Revenda,company,Caxias do Sul,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93778,inactive,Zeca Automoveis,Revenda,company,Aracaju,Sergipe,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93779,inactive,Loop,Revenda,company,São Paulo,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93780,inactive,Alex Carros,Revenda,company,Santarém,Pará,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93781,inactive,Up Motos,Revenda,company,São José do Rio Preto,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93782,inactive,New Car,Revenda,company,Iguatu,Ceará,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93783,active,Rafael Motos,Concessionaria,company,Campina Grande,Paraíba,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93784,inactive,Major Multimarcas,Revenda,company,Franca,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93785,inactive,GB Motors,Revenda,company,São Paulo,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93786,inactive,Marco Veiculos,Revenda,company,Porto Alegre,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93787,active,New Car Multimarcas,Revenda,company,Campo Grande,Mato Grosso do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93788,inactive,Renovação Veiculos,Revenda,company,São Sebastião,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93789,inactive,Maltik Automoveis,Revenda,company,Belo Horizonte,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93790,inactive,Mm Veiculos,Revenda,company,São José,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93791,inactive,Minas Automoveis,Revenda,company,Campos do Jordão,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93792,inactive,Mn Veiculos,Revenda,company,Caçador,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93793,inactive,Linkcar Veículos,Revenda,company,Brasília,Distrito Federal,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93794,inactive,Central De Repasses,Revenda,company,Recife,Pernambuco,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93795,inactive,Serginho Automoveis,Revenda,company,Mauá,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93796,inactive,Giombelli Locadora De Veiculos,Revenda,company,Lajeado,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93797,inactive,Lider Autos,Revenda,company,Sorocaba,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93798,inactive,Discovery Automoveis,Revenda,company,Florianópolis,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93799,inactive,Avenida Veículos,Revenda,company,Sorriso,Mato Grosso,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93800,inactive,Ar Automoveis,Revenda,company,Americana,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93801,inactive,Frank Veiculos,Revenda,company,Manaus,Amazonas,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93802,inactive,Manos Veiculos,Revenda,company,Rio do Sul,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93803,inactive,Salu Veículos,Revenda,company,Brasília,Distrito Federal,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93804,inactive,Silva Veiculos,Revenda,company,Serra,Espírito Santo,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93806,active,Euro Motors,Revenda,company,Rio de Janeiro,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93807,inactive,bombana automoveis,Revenda,company,Chapecó,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
